Liste over Bildetema-termer som skal oversettes til kvensk									
Tilrettelagt av Øystein Reigem, Uni Research Computing, 2017-01-11									
									
id	lenke til Bildetema HTML5	lenke til Bildetema Flash	svensk	bokmål	engelsk	kvensk	oversetterens kommentarer		
									
			et par tekster i brukergrensesnittet						
									
&home			tema-överblick	Oversikt over tema	Theme index	Teemat			
&select			Välj ett tema her!	Velg et tema her!	Choose a theme here!	Valitte teeman tästä!			
									
			navn på språk						
									
&language-amh			Amhariska	Amharisk	Amharic		?		
&language-ara			Arabiska	Arabisk	Arabic	Arabia	?		
&language-bos			Bosniska	Bosnisk	Bosnian	Bosnia	?		
&language-cmn			Kinesiska	Kinesisk	Chinese	Kiina	?		
&language-dan			Danska	Dansk	Danish	Tanmarkku	?		
&language-ell			Grekiska	Gresk	Greek	Kreekka	?		
&language-eng			Engelska	Engelsk	English	Engelska  			
&language-eng_us			Engelska (US)	Engelsk (US)	English (US)	Engelska (US)			
&language-est			Estniska	Estisk	Estonian	Eesti			
&language-fao			Färöiska	Færøysk	Faroese		? 		
&language-fas			Persiska	Persisk	Persian		?		
&language-fin			Finska	Finsk	Finnish	Suomi			
&language-fit			Meänkieli	Meänkieli	Finnish, Tornedalen	Meänkieli			
&language-kal			Grönländska	Grønlandsk	Greenlandic		?		
&language-kmr			Kurmanji	Kurmanji	Kurmanji	Kurmanji	?		
&language-nno			Nynorsk	Nynorsk	Nynorsk	Uusinorja			
&language-nob			Bokmål	Bokmål	Bokmål	Kirjanorja			
&language-pol			Polska	Polsk	Polish		?		
&language-prs			Dari	Dari	Dari	Dari	?		
&language-rmf_kalo			Kalé	Kalé	Kalé	Kalé	?		
&language-rmn_arlija			Arli	Arli	Arli	Arli	?		
&language-rmy_kalderash			Kelderash	Kelderash	Kalderash	Kelderash	?		
&language-rmy_lovari			Lovari	Romani (lovari)	Lovari	Romani (lovari)			
&language-rus			Ryska	Russisk	Russian	Ryssä/Venäjä			
&language-sdh			Sorani	Sorani	Sorani	Sonari			
&language-sma			Sydsamiska	Sørsamisk	Southern Sami	Etelä-Saame			
&language-sme			Nordsamiska	Nordsamisk	Northern Sami	Pohjais-Saame			
&language-smj			Lulesamiska	Lulesamisk	Lule	Luulajansaame			
&language-som			Somali	Somali	Somali	Somali			
&language-spa			Spanska	Spansk	Spanish		Spanska?		
&language-sqi			Albanska	Albansk	Albanian		Albania?		
&language-swe			Svenska	Svensk	Swedish	Ruotti			
&language-tam			Tamil	Tamil	Tamil	Tamil	Tamili		
&language-tgl			Tagalog	Tagalog	Tagalog	Tagalog	Tagalogi		
&language-tha			Thai	Thai	Thai	Thai	?		
&language-tir			Tigrinja	Tigrinja	Tigrinya		?		
&language-tur			Turkiska	Tyrkisk	Turkish		Turkki?		
&language-urd			Urdu	Urdu	Urdu	Urdu	?		
&language-vie			Vietnamesiska	Vietnamesisk	Vietnamese		Vietnami?		
&language-yid			Jiddisch	Jiddisk	Yiddish		Jiddis?		
&language-ymm			Maay	May	Maay		Maay?		
&language-fkv				Kvensk		Kvääni			
									
			tema, undertema og ord						
									
&c1	Bildetema HTML5	Bildetema Flash	Familj och släkt	Familie og slekt	Family and relations	Peret ja suku			
									
&w01010	Bildetema HTML5	Bildetema Flash	Astrid	Astrid	Astrid	Astrid			
&w01011	Bildetema HTML5	Bildetema Flash	Jans mormor	Jans mormor	Jan's (maternal) grandmother	Janin ämmi (muorin muori)			
&w01012	Bildetema HTML5	Bildetema Flash	Henriks svärmor	Henriks svigermor	Henrik's mother-in-law	Henrikin anoppimuori			
&w01020	Bildetema HTML5	Bildetema Flash	Lars	Lars	Lars	Lars			
&w01021	Bildetema HTML5	Bildetema Flash	Jans morfar	Jans morfar	Jan's (maternal) grandfather	Janin äiji (muorin faari)			
&w01022	Bildetema HTML5	Bildetema Flash	Henriks svärfar	Henriks svigerfar	Henriks's father-in-law	Henrikin anoppifaari, Henrikin appifaari			
&w01030	Bildetema HTML5	Bildetema Flash	Johanna	Johanna	Johanna	Johanna			
&w01031	Bildetema HTML5	Bildetema Flash	Jans farmor	Jans farmor	Jan's (paternal) grandmother	Janin ämmi (faarin muori)			
&w01032	Bildetema HTML5	Bildetema Flash	Evas svärmor	Evas svigermor	Eva's mother-in-law	Evan anoppimuori			
&w01040	Bildetema HTML5	Bildetema Flash	Evert	Evert	Evert	Evert			
&w01041	Bildetema HTML5	Bildetema Flash	Jans farfar	Jans farfar	Jan's (paternal) grandfather	Janin äiji (faarin faari)			
&w01042	Bildetema HTML5	Bildetema Flash	Evas svärfar	Evas svigerfar	Eva's father-in-law	Evan anoppifaari			
&w01050	Bildetema HTML5	Bildetema Flash	Harald	Harald	Harald	Harald			
